#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,E1_score,E2_score,E3_score,E4_score,E5_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.4.16,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",3.04,4.0,0.759,2.96,1.97,13,False,True,43,41,2
M0.2.1; M0_ii.2.1; M0_iii.2.1,Yes,Scope misalignment,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,"0,66","0,66","0,66",,,"0,61",,,,,,,,,,,,,,,,,,,,"0,65","0,65","0,65",,,"0,61",,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49",,,"0,61",,,,,,,,4.0,"2,58","1,100","2,57","2,08",2.58,4.0,1.1,2.57,2.08,13,True,False,44,41,3
L0_iii.2.5; L1.2.1. M0_ii.2.2; M0_iii.2.3,Yes,Scope misalignment,,,,X,,X,,,,,,,,,X,X,,,,,,,,,,,,,"0,89",,"0,80",,,,,,,,,"0,66","0,66",,,,,,,,,,,,,"0,89",,"0,80",,,,,,,,,"0,65","0,65",,,,,,,,,,,,,"0,78",,"0,80",,,,,,,,,"0,49","0,49",,,,,,,,,,,4.0,"3,00","1,351","3,00","2,56",3.0,4.0,1.351,3.0,2.56,13,True,False,45,41,4
GS.4.15,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",3.04,4.0,0.759,2.96,1.97,13,False,True,46,42,4
GS.7.6,No,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,"0,78","0,78",,,,,,,,,,,,,,,,,,,,,,3.0,"2,66","0,665","2,66","2,33",2.66,3.0,0.665,2.66,2.33,14,False,True,47,43,4
GS.4.19,No,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,,,3.0,"2,56","2,564","2,53","2,03",2.56,3.0,2.564,2.53,2.03,14,False,True,48,44,4
GS.4.18,No,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,"0,76",,"0,72",,,"0,66",,,,,,,,,,,,,,,,,,,,"0,74",,"0,72",,,"0,65",,,,,,,,,,,,,,,,,,,,"0,49",,"0,72",,,"0,49",,,,,,,,,,,3.0,"2,14","1,078","2,12","1,71",2.14,3.0,1.078,2.12,1.71,14,False,True,49,45,4
L1.3.4; Q1.3.9; Q2.3.5,Yes,Template drift,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,3.0,"2,27","2,274","2,27","2,27",2.27,3.0,2.274,2.27,2.27,14,True,False,50,45,5
GS.9.8,No,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,"0,85",,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,"0,84",,,,,,,,"0,78","0,78",,,,,,,,,,,,,,,,"0,68",,,,,,,3.0,"2,63","1,298","2,62","2,23",2.63,3.0,1.298,2.62,2.23,14,False,True,51,46,5
GS.10.6,No,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,"0,66",,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,"0,65",,,,,,,,,,,,,,,"0,78",,,"0,89",,,,,,,"0,49",,,,,,,,,,,,,3.0,"2,44","1,279","2,43","2,16",2.44,3.0,1.279,2.43,2.16,14,False,True,52,47,5
M0_ii.8.4; M1.8.3; M2.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3.0,"2,01","1,521","2,01","1,85",2.01,3.0,1.521,2.01,1.85,14,True,False,53,47,6
M0_ii.8.3; M1.8.2; M2.8.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3.0,"2,01","1,521","2,01","1,85",2.01,3.0,1.521,2.01,1.85,14,True,False,54,47,7
L0_ii.2.1; L0_iii.2.2,Yes,Scope misalignment,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,,,"0,78","0,78",,,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",1.77,2.0,0.443,1.77,1.55,15,True,False,55,47,8
M0_ii.3.2; M0_iv.3.2,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,True,False,56,47,9
G1.3.5; G2.3.5,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,2.0,"1,34","1,337","1,34","1,34",1.34,2.0,1.337,1.34,1.34,15,True,False,57,47,10
GS.2.3,No,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,"0,89",,,,,,,,,,,,,,,"0,66",,,,,,,,,,"0,89",,,,,,,,,,,,,,,"0,65",,,,,,,,,,"0,78",,,,,,,,,,,,,,,"0,49",,,,,,,,,,2.0,"1,54","0,386","1,54","1,27",1.54,2.0,0.386,1.54,1.27,15,False,True,58,48,10
M0_ii.3.3; M0_iv.3.3,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,True,False,59,48,11
GS.4.6,No,,H.4.6,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,76",,"0,76",,,,,,,,,,,,,,,,,,,,,,,"0,74",,"0,74",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,,,,,,2.0,"1,52","0,379","1,48","0,98",1.52,2.0,0.379,1.48,0.98,15,False,True,60,49,11
M0.2.4; M0_iii.2.5,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,True,False,61,49,12
M0.2.2; M0_ii.2.3; M2.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,True,False,62,49,13
Q0_iii.2.4; M0_ii.2.4,Yes,Scope misalignment,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,"0,76",,,,,"0,66",,,,,,,,,,,,,,,,,,,,"0,74",,,,,"0,65",,,,,,,,,,,,,,,,,,,,"0,49",,,,,"0,49",,,,,,,,,,,,2.0,"1,42","0,354","1,39","0,98",1.42,2.0,0.354,1.39,0.98,15,True,False,63,49,14
L0.5.4; L0_iv.5.3,Yes,Responsibility leakage,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,,"0,78",,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",1.77,2.0,0.443,1.77,1.55,15,True,False,64,49,15
M0.5.3; M0_iii.5.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,True,False,65,49,16
GS.6.4,No,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85",,,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84",,,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68",,,,,2.0,"1,71","1,709","1,68","1,35",1.71,2.0,1.709,1.68,1.35,15,False,True,66,50,16
L0_iii.7.5; M0_ii.7.4,Yes,Contextual misfit,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,"0,89",,,,,,,,,,,"0,66",,,,,,,,,,,,,,"0,89",,,,,,,,,,,"0,65",,,,,,,,,,,,,,"0,78",,,,,,,,,,,"0,49",,,,,,,,,,,,2.0,"1,54","0,386","1,54","1,27",1.54,2.0,0.386,1.54,1.27,15,True,False,67,50,17
M0_ii.8.2; M0_iii.8.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,True,False,68,50,18
M0_ii.8.5; M1.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75",,,,,,,,,2.0,"1,41","0,915","1,40","1,24",1.41,2.0,0.915,1.4,1.24,15,True,False,69,50,19
M1.10.4; M2.10.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",1.36,2.0,1.356,1.36,1.36,15,True,False,70,50,20
Q0.10.4; Q1.10.4,Yes,Template drift,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,"0,76",,,,"0,75",,,,,,,,,,,,,,,,,,,,,"0,74",,,,"0,75",,,,,,,,,,,,,,,,,,,,,"0,49",,,,"0,75",,,,,,,,,,,,,,,2.0,"1,51","0,940","1,49","1,24",1.51,2.0,0.94,1.49,1.24,15,True,False,71,50,21
M1.10.5; M2.10.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",1.36,2.0,1.356,1.36,1.36,15,True,False,72,50,22
M1.10.3; M2.10.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",1.36,2.0,1.356,1.36,1.36,15,True,False,73,50,23
Q0_ii.10.4; Q0_iii.10.3,Yes,Template drift,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,,,,,,,,,,,,,"0,74","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,,,,,,2.0,"1,52","0,379","1,48","0,98",1.52,2.0,0.379,1.48,0.98,15,True,False,74,50,24
GS.7.4,No,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,,"0,78",,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",1.77,2.0,0.443,1.77,1.55,15,False,True,75,51,24
GS.5.5,No,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,66",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,65",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,15,False,True,76,52,24
Q0_iv.4.4; Q2.4.1,Yes,Scope misalignment,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,76",,"0,72",,,,,,,,,,,,,,,,,,,,,,,"0,74",,"0,72",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,72",,,,,,,,,,,,,,2.0,"1,48","0,914","1,46","1,22",1.48,2.0,0.914,1.46,1.22,15,True,False,77,52,25
L0_iii.7.8; Q0_iii.7.4,Yes,Template drift,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,"0,89",,,,,,"0,76",,,,,,,,,,,,,,,,,,,"0,89",,,,,,"0,74",,,,,,,,,,,,,,,,,,,"0,78",,,,,,"0,49",,,,,,,,,,,,,,,,,2.0,"1,65","0,411","1,63","1,27",1.65,2.0,0.411,1.63,1.27,15,True,False,78,52,26
L1.1.3,Yes,Scope misalignment,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.8,1.0,0.8,0.8,0.8,16,True,False,79,52,27
GS.1.2,No,,H.1.2,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,False,True,80,53,27
L2.3.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,16,True,False,81,53,28
M0_ii.2.5,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.66,1.0,0.165,0.65,0.49,16,True,False,82,53,29
M0.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.66,1.0,0.165,0.65,0.49,16,True,False,83,53,30
M2.2.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,1.0,"0,61","0,606","0,61","0,61",0.61,1.0,0.606,0.61,0.61,16,True,False,84,53,31
M0_iii.2.4,Yes,Scope misalignment,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.66,1.0,0.165,0.65,0.49,16,True,False,85,53,32
M2.2.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,1.0,"0,61","0,606","0,61","0,61",0.61,1.0,0.606,0.61,0.61,16,True,False,86,53,33
M2.2.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,1.0,"0,61","0,606","0,61","0,61",0.61,1.0,0.606,0.61,0.61,16,True,False,87,53,34
G0.2.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,16,True,False,88,53,35
M2.2.5,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,"0,61",,,,,,,,1.0,"0,61","0,606","0,61","0,61",0.61,1.0,0.606,0.61,0.61,16,True,False,89,53,36
G0_iii.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,16,True,False,90,53,37
GS.2.2,No,,H.2.2,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,16,False,True,91,54,37
Q0.10.7,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,92,54,38
GS.10.4,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,16,False,True,93,55,38
G0_iv.3.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,16,True,False,94,55,39
Q1.3.6,Yes,Scope misalignment,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.75,1.0,0.75,0.75,0.75,16,True,False,95,55,40
G1.3.4,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.6,1.0,0.6,0.6,0.6,16,True,False,96,55,41
Q0_iii.3.4,Yes,Template drift,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,97,55,42
GS.3.8,No,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.75,1.0,0.75,0.75,0.75,16,False,True,98,56,42
G0_iii.3.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,16,True,False,99,56,43
Q0_ii.3.3,Yes,Contextual misfit,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,100,56,44
Q0.3.7,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,101,56,45
Q0.3.8,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,102,56,46
Q0.3.9,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,103,56,47
Q0_iii.3.5,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,104,56,48
Q0.3.2,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,105,56,49
Q0_iii.3.6,Yes,Architectural infeasibility,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.76,1.0,0.19,0.74,0.49,16,True,False,106,56,50
M0.3.4,Yes,Template drift,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.66,1.0,0.165,0.65,0.49,16,True,False,107,56,51
M0_iii.2.2,Yes,Scope misalignment,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,1.0,"0,66","0,165","0,65","0,49",0.66,1.0,0.165,0.65,0.49,16,True,False,108,56,52
