Norm;G0.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;G0.1.1;Secure Authentication Help Messaging;Yes;H.1.1;;"Requirement is valid; narrative is hallucinating"
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;G0.2.1;Authentication Alert System Performance;Yes;H.2.1;;
;G0.2.2;Authentication Alert System Reliability;No;;Yes;Not a cybersecurity requirement
;G0.2.3;Authentication Alert System Usability;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;G0.3.1;Access Control Non-Functional Requirement;Yes;"H.3.1; H.3.3";;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};G0.4.1;Role-Based Access Control Performance;No;;Yes;
;G0.4.2;Role-Based Access Control Scalability;No;;Yes;
;G0.4.3;Role-Based Access Control Security;No;;No;
The {organization} shall maintain a record of {all privileges allocated};G0.5.1;Privilege Allocation Record Management;Yes;H.5.1;;
;G0.5.2;Operations Access Control;Yes;H.5.2;;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;G0.6.1;Periodic Privileged Access Review Compliance;Yes;H.6.1;;
;G0.6.2;Competency Validation for Cybersecurity Roles;No;;No;
;G0.6.3;Comprehensive Audit Trail Maintenance;No;;Yes;Unrelated
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;G0.7.1;Network Access Control for IoT and Automated Systems;Yes;H.7.1;;
;G0.7.2;Secure Network Gateways for External and Internal Connections;Yes;"H.7.2; H.7.3";;
{Network administration channels} must be segregated from {other network traffic};G0.8.1;Segregation of Administrative Network Communications;Yes;H.8.1;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};G0.9.1;Data in Transit Encryption;Yes;H.9.3;;
;G0.9.2;Endpoint Data Storage Security;No;;No;
;G0.9.3;External Network Communication Security;No;;No;
;G0.9.4;Storage Media Encryption Compliance;Yes;H.9.1;;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};G0.10.1;IoT Middleware Key Management Protocol;No;;Yes;
;G0.10.2;Data Store Encryption and Key Recovery Strategy;Partial;H.10.2;No;
;G0.10.3;Role-Specific Key Management Responsibilities;Yes;H.10.3;;
Totals;;;13;;5;
