Norm;Q2.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;Q2.1.1;SecureAuthenticationFeedback;Yes;H.1.1;;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;Q2.2.1;EnhancedLogOnControlSurveillance;Yes;H.2.1;;
;Q2.2.2;ImmediateAlertingForUnauthorizedAccessAttempts;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;Q2.3.1;Secure Entry and Exit Control;No;;Yes;Out of the scope
;Q2.3.2;Digital Access Management for Sensitive Areas;Yes;H.3.2;;
;Q2.3.3;Data Store Security;Yes;H.3.1;;
;Q2.3.4;IoT Middleware Platform Access Control;No;;No;
;Q2.3.5;Employee Role-Based Access;No;;Yes;Unrealated
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};Q2.4.1;Secure Entry and Exit Control;No;;Yes;Out of the scope
;Q2.4.2;Digital Access Management for Sensitive Areas;No;;Yes;Out of the scope
;Q2.4.3;Data Store Security;Yes;"H.4.1; H.4.3; H.4.5";;
;Q2.4.4;IoT Middleware Platform Access Control;No;;No;
;Q2.4.5;Employee Role-Based Access;Yes;H.4.7;;
The {organization} shall maintain a record of {all privileges allocated};Q2.5.1;Comprehensive Privilege Recording;Yes;H.5.1;;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;Q2.6.1;PrivilegedAccessReview;Yes;H.6.1;;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;Q2.7.1;Secure Network Access Enforcement;Yes;"H.7.1; H.7.2";;
{Network administration channels} must be segregated from {other network traffic};Q2.8.1;Network Administration Channel Isolation;Yes;H.8.1;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};Q2.9.1;EndpointDeviceDataProtection;No;;No;
;Q2.9.2;SecureStorageMediaHandling;No;;Yes;Out of the scope (not required technologies in use)
;Q2.9.3;NetworkCommunicationSecurity;Yes;H.9.3;;
;Q2.9.4;DataTransmissionIntegrity;Yes;H.9.3;;
;Q2.9.5;IoTMiddlewareSecurity;Yes;;No;
;Q2.9.6;AdministrativeDeviceEncryption;Yes;;Yes;Overloaded
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};Q2.10.1;Secure Key Lifecycle Management;Yes;H.10.3;;
;Q2.10.2;Key Access Control and User Management;Yes;H.10.2;;
;Q2.10.3;Key-Driven Data Recovery Protocol;No;;No;
;Q2.10.4;System Operation Resilience;No;;Yes;Not a FR
;Q2.10.5;Security Management Compliance;No;;Yes;Not a FR
Totals;;;17;;8;
