Norm;L3.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;L3.1.1;Secure Log-on Feedback;Yes;H.1.1;;
;L3.1.2;Secure Access Gate Log-on Procedure;No;;Yes;Outside of the scope of the system
;L3.1.3;Secure System Administration Log-on Procedure;Yes;H.1.1;;
;L3.1.4;Secure User Management Feedback;No;;No;
;L3.1.5;Secure Access Gate Entry Feedback;No;;Yes;Outside of the scope of the system
;L3.1.6;Secure Supply Chain Information Feedback;No;;Yes;Outside of the scope of the system
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;L3.2.1;Access Gate Log-on Breach Detection;Yes;H.2.1;;
;L3.2.2;Employee Log-on Breach Detection;Yes;H.2.1;;
;L3.2.3;Logistics Terminal Log-on Breach Detection;Yes;H.2.1;;
;L3.2.4;Protection of Sensitive Data Stores;No;;Yes;
;L3.2.5;System Administrator Log-on Breach Response;Yes;H.2.1;;
;L3.2.6;Unauthorized Access Attempt Alert;Yes;H.2.1;;
;L3.2.7;System Administrator Alert for Repeated Failed Logins;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;L3.3.1;Access Control for Physical Locations;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
;L3.3.2;Access Control for Sensitive Factory Systems;Yes;"H.3.2; H.3.5";;
;L3.3.3;Assembly Line and Warehouse Access Control;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
;L3.3.4;Controlled Access to Factory Premises;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
;L3.3.5;Isolation of Logistics Terminal Car Registry;Yes;H.3.1;;
;L3.3.6;Isolation of Logistics Terminal Systems;Yes;H.3.1;;
;L3.3.7;Isolation of Sensitive Data Stores;Yes;H.3.1;;
;L3.3.8;Physical Access Control for Factory Premises;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
;L3.3.9;Role-Based Access Control;No;;Yes;
;L3.3.10;Role-Based Access Control for Employee Roles;No;;Yes;
;L3.3.11;Role-Based Access Control for Sensitive Roles;No;;Yes;
;L3.3.12;Secure Access to Assembly Line and Warehouse Systems;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
;L3.3.13;Secure Access to Finished Car Registry and VIN Management;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
;L3.3.14;Secure Car Shipment;Yes;H.3.4;;
;L3.3.15;Secure Component and Car Data;Yes;H.3.4;;
;L3.3.16;Secure Component Storage;Yes;H.3.4;;
