Norm;L2.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;L2.1.1;Secure Employee Login Feedback;Yes;H.1.1;;
;L2.1.2;Controlled Access Attempt Feedback;No;;Yes;Outside of the scope of the system
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;L2.2.1;Detection of Potential Breach of Employee Log-on Controls;Yes;H.2.1;;
;L2.2.2;Notification of Security Manager in Case of Potential Breach;Yes;H.2.1;;
;L2.2.3;Real-time Alerting for Suspicious Log-on Activity;Yes;H.2.1;;
;L2.2.4;System Admin Alerting for Potential Security Breaches;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;L2.3.1;Access Control for Sensitive Data Stores;Yes;H.3.1;;
;L2.3.2;Role-Based Access Control;No;;Yes;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};L2.4.1;Role-Based Access Control;Yes;"H.4.1; H.4.5";;
;L2.4.2;Warehouse Inventory Access Restriction;Yes;H.4.5;;
;L2.4.3;Finished Car Registry Access Control;Yes;H.4.3;;
;L2.4.4;Logistics Terminal Car Registry Access Control;No;;No;
;L2.4.5;Purchase and Transport Order Access Control;Yes;H.4.2;;
The {organization} shall maintain a record of {all privileges allocated};L2.5.1;Factory Privilege Management Record;Yes;H.5.1;;
;L2.5.2;Car Manufacturer Access Control Record [external entities];No;;No;
;L2.5.3;System Admin Privilege Record;No;;No;
;L2.5.4;Security Manager Incident Response Record;Yes;H.5.1;;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;L2.6.1;Regular Review of Privileged Access Rights;Yes;H.6.1;;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;L2.7.1;Factory Internal Network Access Restriction;Yes;H.7.1;;
;L2.7.2;Logistics Terminal Network Access Restriction;Yes;H.7.1;;
;L2.7.3;IoT Middleware Access Restriction;No;;No;
;L2.7.4;Secure External Communication;Yes;H.7.2;;
;L2.7.5;Firewall Configuration;Yes;H.7.3;;
{Network administration channels} must be segregated from {other network traffic};L2.8.1;Segregation of System Admin Network Channels;Yes;H.8.1;;
;L2.8.2;Isolation of Network Administration from Production Traffic;Yes;H.8.1;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};L2.9.1;Logistics Information Confidentiality;Yes;H.9.1;;
;L2.9.2;Mobile User Data Protection;Yes;H.9.1;;
;L2.9.3;Supply Chain Interaction Security;No;;No;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};L2.10.1;Secure Key Management;Yes;H.10.1;;
;L2.10.2;Protected Data in Transit;No;;Yes;Outside the scope of the requested NFR
;L2.10.3;Key Recovery and Revocation;No;;No;
;L2.10.4;Access-Controlled Key Management;Partial;H.10.1;No;
;L2.10.5;Key Management Roles and Responsibilities;Yes;H.10.3;;
Totals;;;9;;3;
