Norm;L5.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;L5.1.1;Secure Log-on Feedback;Yes;H.1.1;;
;L5.1.2;Prevention of Unauthorized System Access;Yes;H.1.1;;
;L5.1.3;Protection of Employee Credentials;Yes;H.1.1;;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;L5.2.1;Access Gate Breach Detection and Alert;Yes;H.2.1;;
;L5.2.2;System Log-on Breach Detection and Alert;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;L5.3.1;Isolation of Sensitive Factory Systems;Yes;"H.3.1; H.3.5";;
;L5.3.2;Access Control for Requisitions Data Store;Yes;H.3.1;;
;L5.3.3;Production Plan Data Store Isolation;Yes;H.3.1;;
;L5.3.4;Finished Car Registry Access Control;Yes;H.3.1;;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};L5.4.1;Role-Based Access Control;Yes;H.4.7;;
;L5.4.2;Warehouse Inventory Access Control;Yes;H.4.5;;
;L5.4.3;Production Plan Data Store Access Control;No;;No;
;L5.4.4;Finished Car Registry Access Control;Yes;H.4.3;;
;L5.4.5;Requisitions Data Store Access Control;Yes;H.4.2;;
;L5.4.6;Logistics Terminal Car Registry Access Control;No;;No;
;L5.4.7;Purchase Order and Transport Order Data Stores Access Control;Yes;H.4.3;;
The {organization} shall maintain a record of {all privileges allocated};L5.5.1;Comprehensive Privilege Allocation Record;Yes;H.5.1;;
;L5.5.2;Employee Access Privilege Registry;Partial;H.5.2;No;
;L5.5.3;Role-Based Privilege Allocation Log;Yes;H.5.1;;
;L5.5.4;Access Control and Authorization;No;;Yes;Out of the scope of the system
;L5.5.5;Audit and Compliance;No;;Yes;Says nothing
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;L5.6.1;Privileged Access Review for Car Manufacturer Employees;Yes;H.6.1;;
;L5.6.2;Role-Based Privileged Access Validation for Warehouse and Plant Managers;Yes;H.6.1;;
;L5.6.3;Periodic Assessment of Privileged Access for Logistics and Shipping Personnel;Yes;H.6.1;;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;L5.7.1;Restricted Connection to Factory Network;No;;No;
;L5.7.2;Secure IoT Middleware Connection;No;;No;
;L5.7.3;Filtered Front-end Application Access;No;;Yes;Absurd
{Network administration channels} must be segregated from {other network traffic};L5.8.1;Segregation of Network Administration Channels;Yes;H.8.1;;
;L5.8.2;Segregation of System Admin Channels;No;;Yes;Excessive
;L5.8.3;Segregation of Security Manager Channels;No;;Yes;Excessive
;L5.8.4;Segregation of Operations Manager Channels;No;;Yes;Excessive
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};L5.9.1;Cryptographic Protection of Handheld Device Data;Yes;H.9.1;;
;L5.9.2;Secure Data Transmission over Factory Networks;Yes;H.9.3;;
;L5.9.3;Encryption of Data in Factory Datastores;Yes;H.9.1;;
;L5.9.4;Cryptographic Protection of Finished Car Registry Data;Yes;H.9.1;;
;L5.9.5;Secure Data Storage on Endpoint Devices;No;;No;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};L5.10.1;Comprehensive Key Management System;Yes;H.10.2;;
;L5.10.2;Secure Key Generation and Protection;Yes;H.10.3;;
;L5.10.3;Encrypted Data Recovery;No;;No;
;L5.10.4;Key Management System Integration;Yes;H.10.2;;
Totals;;;12;;6;
