Norm;G2.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;G2.1.1;Secure Log-On Feedback Mechanism;Yes;H.1.1;;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;G2.2.1;Secure Authentication Alert System;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;G2.3.1;Restricted Access to Warehouse Management System;Yes;H.3.1;;
;G2.3.2;Secured Access to Production Plan Data Store;Yes;H.3.1;;
;G2.3.3;Isolation of Requisitions Data Store;Yes;H.3.1;;
;G2.3.4;Restricted Access to Finished Car Registry;Yes;H.3.1;;
;G2.3.5;Isolation and Protection of AIDC Systems;No;;Yes;Unrelated
;G2.3.6;Secured Interaction with IoT Middleware Platforms;No;;No;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};G2.4.1;Controlled Data Access by Role;Yes;H.4.7;;
;G2.4.2;Group-Based Data Segregation;Yes;H.4.7;;
;G2.4.3;Role-Specific Operational Logs and Audits;Yes;H.4.7;;
The {organization} shall maintain a record of {all privileges allocated};G2.5.1;Privilege Logging and Management;Yes;H.5.1;;
;G2.5.2;Real-Time Privilege Updates;Yes;H.5.2;;
;G2.5.3;Regular Privilege Audits;Yes;H.5.2;;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;G2.6.1;Privileged Access Review;Yes;H.6.1;;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;G2.7.1;IoT Device Network Security;Yes;H.7.1;;
;G2.7.2;Middleware Network Filtering;Yes;H.7.1;;
;G2.7.3;AGV Network Integration Security;Yes;H.7.1;;
;G2.7.4;Secure Sensor Network Transmissions;Yes;H.7.1;;
{Network administration channels} must be segregated from {other network traffic};G2.8.1;Segregation of System Administration and Operational Network Traffic;Yes;H.8.1;;Rambles
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};G2.9.1;Cryptographic Protection of Data Stores;Yes;H.9.1;;
;G2.9.2;Secure Data Transmission in Factory Networks;Yes;H.9.3;;
;G2.9.3;Endpoint Device Security for Mobile Users;Yes;H.9.1;;
;G2.9.4;Authentication and Access Control for Mobile Devices;No;;Yes;Absurd
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};G2.10.1;Secure Cryptographic Key Lifecycle Management for IoT Middleware;Partial;H.10.3;Yes;"Mainly hall; but includes sec mgr. responsibility"
;G2.10.2;Datastore Encryption Key Management and Recovery;No;;Yes;"Not the keys for that; rambles"
;G2.10.3;Encryption Key Management for AIDC Technologies;Yes;H.10.1;;
Totals;;;22;;4;
