Norm;M1.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;M1.1.1;Unauthorized Access Prevention;Yes;H.1.1;;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;M1.2.1;Security Event for Access Control Breach;Yes;H.2.1;;
;M1.2.2;User Alert for Failed Login Attempts;Yes;H.2.1;;
;M1.2.3;System Administrator Alert for Failed Login Attempts;Yes;H.2.1;;
;M1.2.4;Logging of Failed Login Attempts;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;M1.3.1;Access Control for Inbound Logistics Data;Yes;H.3.1;;
;M1.3.2;Access Control for Car Assembly Data;Yes;H.3.1;;
;M1.3.3;Access Control for Outbound Logistics Data;Yes;H.3.1;;
;M1.3.4;Access Control for System Administration;No;;No;
;M1.3.5;Access Control for IoT Middleware Platform;No;;No;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};M1.4.1;Role-Based Access Control for Factory Data;Yes;"H.4.1; H.4.2; H.4.3; H.4.4; H.4.5; H.4.7";;
;M1.4.2;Role-Based Access Control for Inbound Logistics Data;Yes;"H.4.1; H.4.2; H.4.3; H.4.4; H.4.5; H.4.7";;
;M1.4.3;Role-Based Access Control for Car Assembly Data;Yes;"H.4.1; H.4.2; H.4.3; H.4.4; H.4.5; H.4.7";;
;M1.4.4;Role-Based Access Control for Outbound Logistics Data;Yes;"H.4.1; H.4.2; H.4.3; H.4.4; H.4.5; H.4.7";;
The {organization} shall maintain a record of {all privileges allocated};M1.5.1;Employee Access Privilege Record;Yes;H.5.1;;
;M1.5.2;Role-Based System Access Privilege Record;Yes;H.5.1;;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;M1.6.1;Regular Review of Privileged Access;Yes;H.6.1;;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;M1.7.1;Restricted and Filtered Network Connection for IoT Middleware Platform;No;;No;
;M1.7.2;Restricted and Filtered Network Connection for Factory Systems;Yes;"H.7.1; H.7.2";;
;M1.7.3;Restricted and Filtered Network Connection for Employee Devices;Yes;"H.7.1; H.7.2";;
;M1.7.4;Restricted and Filtered Network Connection for External Systems;Yes;H.7.3;;
{Network administration channels} must be segregated from {other network traffic};M1.8.1;Segregated Access Control Network;Yes;H.8.1;;
;M1.8.2;Isolated Inventory Management Network;No;;Yes;Extreme measures
;M1.8.3;Separated Assembly Line Network;No;;Yes;Extreme measures
;M1.8.4;Segregated Outbound Logistics Network;No;;Yes;Extreme measures
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};M1.9.1;Cryptographic Protection for Inbound Logistics Data;Yes;"H.9.1; H.9.3";;
;M1.9.2;Cryptographic Protection for Assembly Line Data;Yes;"H.9.1; H.9.3";;
;M1.9.3;Cryptographic Protection for Outbound Logistics Data;Yes;"H.9.1; H.9.3";;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};M1.10.1;Comprehensive IoT Device Key Management;Yes;H.10.1;;
;M1.10.2;Secure Access Control System Key Management;No;;Yes;Absurd
;M1.10.3;Warehouse Inventory System Key Management;No;;Yes;Absurd
;M1.10.4;Finished Car Registry Key Management;No;;Yes;Absurd
;M1.10.5;Purchase Order and Transport Order Data Stores Key Management;No;;Yes;Absurd
Totals;;;23;;5;
