Norm;L1.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;L1.1.1;Secure Access Control Manager Log-on;Yes;H.1.1;;
;L1.1.2;Employee Log-on Security;Yes;H.1.1;;
;L1.1.3;Secure Supply Vehicle Entry;No;;Yes;Outside of the scope of the system
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;L1.2.1;Supply Vehicle Access Breach Detection;No;;Yes;Outside of the scope of the system
;L1.2.2;Employee Access Breach Detection;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;L1.3.1;Sensitive Data Store Access Control;Yes;H.3.1;;
;L1.3.2;Assembly Line and Warehouse Access Control;Yes;H.3.2;Yes;Partial hall. also areas non-related to IT
;L1.3.3;IoT Middleware Platform Isolation;No;;No;
;L1.3.4;Role-Based Access Control for System Administration;No;;Yes;
;L1.3.5;Secure AIDC Technology Management;Yes;H.3.5;;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};L1.4.1;Role-Based Access Control;Yes;"H.4.1; H.4.2; H.4.5";;
;L1.4.2;System Administration Access Control;No;;No;
;L1.4.3;Security Management Access Control;No;;No;
The {organization} shall maintain a record of {all privileges allocated};L1.5.1;Privilege Allocation Record for Factory Roles;Yes;H.5.1;;
;L1.5.2;Role-Based Access Control Record;Yes;H.5.1;;Essentially the same as L1.5.1
;L1.5.3;Privilege Allocation Record for System Administration;No;;No;
;L1.5.4;Security Privilege Allocation Record;Yes;H.5.1;;Essentially the same as L1.5.1
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;L1.6.1;Privileged Access Review;Yes;H.6.1;;
;L1.6.2;Factory-Specific Privileged Access Review;Yes;H.6.1;;
;L1.6.3;Regular Competence Assessment for Privileged Users;Yes;H.6.1;;
;L1.6.4;Role-Based Privileged Access Review;Partial;H.6.1;No;
;L1.6.5;Duty-Specific Privileged Access Review;Partial;H.6.1;No;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;L1.7.1;Restricted Factory Network Connections;Yes;H.7.1;;
;L1.7.2;Secure Logistics Terminal Connections;Partial;H.7.3;No;Securize internals
;L1.7.3;Filtered Forwarder Connections;Yes;H.7.2;;
;L1.7.4;Firewalled System Admin Access;Yes;H.7.1;;
;L1.7.5;Security Manager Oversight;No;;No;
{Network administration channels} must be segregated from {other network traffic};L1.8.1;System Admin Network Channel Segregation;Yes;H.8.1;;
;L1.8.2;IT Infrastructure Management Communication Isolation;Yes;H.8.1;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};L1.9.1;Secure Data Transmission for Finished Car Registry;Yes;"H.9.1; H.9.3";;
;L1.9.2;Endpoint Device Data Protection for Warehouse Workers;Yes;"H.9.1; H.9.3";;
;L1.9.3;Secure Storage of Requisitions Data;Yes;"H.9.1; H.9.3";;
;L1.9.4;Cryptographic Protection for Supply Vehicles Registry;Yes;"H.9.1; H.9.3";;
;L1.9.5;Secure Transmission of Production Plan Data;Yes;"H.9.1; H.9.3";;
;L1.9.6;Secure Storage and Transmission of Purchase Order and Transport Order Data;Yes;"H.9.1; H.9.3";;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};L1.10.1;Component Identifier Key Management;Yes;H.10.1;;
;L1.10.2;Finished Car Registry Data Protection;No;;Yes;
;L1.10.3;Access Control Key Management;Yes;H.10.3;;
Totals;;;9;;5;
