L3.#,Present,Hallucination,Hall. Type,Rationale
L3.1.1,Yes,,,
L3.1.2,No,Yes,Scope misalignment,Outside of the scope of the system
L3.1.3,Yes,,,
L3.1.4,No,No,,
L3.1.5,No,Yes,Scope misalignment,Outside of the scope of the system
L3.1.6,No,Yes,Scope misalignment,Outside of the scope of the system
L3.2.1,Yes,,,
L3.2.2,Yes,,,
L3.2.3,Yes,,,
L3.2.4,No,Yes,Template drift,
L3.2.5,Yes,,,
L3.2.6,Yes,,,
L3.2.7,Yes,,,
L3.3.1,No,Yes,Scope misalignment,Factory access is out-of-the-scope of system cybersecurity nfrs
L3.3.2,Yes,,,
L3.3.3,No,Yes,Scope misalignment,Factory access is out-of-the-scope of system cybersecurity nfrs
L3.3.4,No,Yes,Scope misalignment,Factory access is out-of-the-scope of system cybersecurity nfrs
L3.3.5,Yes,,,
L3.3.6,Yes,,,
L3.3.7,Yes,,,
L3.3.8,No,Yes,Scope misalignment,Factory access is out-of-the-scope of system cybersecurity nfrs
L3.3.9,No,Yes,Template drift,
L3.3.10,No,Yes,Template drift,
L3.3.11,No,Yes,Template drift,
L3.3.12,No,Yes,Scope misalignment,Factory access is out-of-the-scope of system cybersecurity nfrs
L3.3.13,No,Yes,Scope misalignment,Factory access is out-of-the-scope of system cybersecurity nfrs
L3.3.14,Yes,,,
L3.3.15,Yes,,,
L3.3.16,Yes,,,
L3.3.17,Yes,,,
L3.4.1,Yes,,,
L3.4.2,Yes,,,
L3.4.3,Yes,,,
L3.4.4,No,No,,
L3.4.5,Yes,,,
L3.4.6,Yes,,,
L3.4.7,No,No,,
L3.4.8,No,No,,
L3.4.9,Yes,,,
L3.4.10,No,No,,
L3.4.11,Yes,,,
L3.4.12,Yes,,,
L3.5.1,Yes,,,
L3.5.2,No,No,,
L3.5.3,No,No,,
L3.5.4,Yes,,,
L3.5.5,Yes,,,
L3.5.6,No,Yes,Contextual misfit,Outside of the scope of the system
L3.5.7,No,Yes,Contextual misfit,Outside of the scope of the system
L3.5.8,Yes,,,
L3.5.9,Yes,,,
L3.6.1,Yes,,,
L3.6.2,Yes,,,
L3.6.3,Yes,,,
L3.6.4,Yes,,,
L3.6.5,Yes,,,
L3.6.6,Yes,,,
L3.6.7,Yes,,,
L3.6.8,No,No,,
L3.7.1,Yes,,,Many of the following are cuasi-redundant
L3.7.2,Yes,,,
L3.7.3,Yes,,,
L3.7.4,No,No,,
L3.7.5,No,No,,
L3.7.6,No,No,,
L3.7.7,Yes,,,
L3.7.8,No,No,,
L3.7.9,Yes,,,
L3.7.10,Yes,,,
L3.7.11,Yes,,,
L3.7.12,Yes,,,
L3.7.13,Yes,,,
L3.7.14,Yes,,,
L3.7.15,Yes,,,
L3.7.16,Yes,,,
L3.7.17,Yes,,,
L3.7.18,Yes,,,
L3.7.19,Yes,,,
L3.7.20,Yes,,,
L3.7.21,Yes,,,
L3.7.22,Yes,,,
L3.7.23,Yes,,,
L3.7.24,Yes,,,
L3.7.25,Yes,,,
L3.7.26,Yes,,,
L3.7.27,Yes,,,
L3.7.28,Yes,,,
L3.7.29,Yes,,,
L3.7.30,Yes,,,
L3.7.31,Yes,,,
L3.7.32,Yes,,,
L3.7.33,Yes,,,
L3.8.1,Yes,,,
L3.8.2,No,No,,
L3.8.3,No,Yes,Architectural infeasibility,Excessive
L3.8.4,No,No,,
L3.8.5,No,Yes,Architectural infeasibility,Excessive
L3.8.6,No,Yes,Architectural infeasibility,Excessive
L3.9.1,Yes,,,
L3.9.2,Yes,,,
L3.9.3,No,Yes,Contextual misfit,Absurd
L3.9.4,Yes,,,
L3.9.5,Yes,,,
L3.9.6,Yes,,,
L3.9.7,No,No,,
L3.9.8,Yes,,,
L3.9.9,Yes,,,
L3.9.10,Yes,,,
L3.9.11,No,No,,
L3.9.12,No,No,,
L3.9.13,Yes,,,
L3.9.14,Yes,,,
L3.9.15,Yes,,,
L3.10.1,Yes,,,
L3.10.2,Yes,,,
L3.10.3,Yes,,,
L3.10.4,No,No,,
L3.10.5,No,Yes,Contextual misfit,Not directly inferrable
L3.10.6,No,Yes,Contextual misfit,Not directly inferrable
L3.10.7,No,Yes,Architectural infeasibility,Absurd
L3.10.8,No,Yes,Responsibility leakage,Out of the scope
L3.10.9,Yes,,,
L3.10.10,Yes,,,
L3.10.11,No,Yes,Contextual misfit,Not directly inferrable
L3.10.12,Yes,,,
