G2.#,Present,Hallucination,Hall. Type,Rationale
G2.1.1,Yes,,,
G2.2.1,Yes,,,
G2.3.1,Yes,,,
G2.3.2,Yes,,,
G2.3.3,Yes,,,
G2.3.4,Yes,,,
G2.3.5,No,Yes,Template drift,Unrelated
G2.3.6,No,No,,
G2.4.1,Yes,,,
G2.4.2,Yes,,,
G2.4.3,Yes,,,
G2.5.1,Yes,,,
G2.5.2,Yes,,,
G2.5.3,Yes,,,
G2.6.1,Yes,,,
G2.7.1,Yes,,,
G2.7.2,Yes,,,
G2.7.3,Yes,,,
G2.7.4,Yes,,,
G2.8.1,Yes,,,Rambles
G2.9.1,Yes,,,
G2.9.2,Yes,,,
G2.9.3,Yes,,,
G2.9.4,No,Yes,Architectural infeasibility,Absurd
G2.10.1,Partial,Yes,Architectural infeasibility,Mainly hall; but includes sec mgr. responsibility
G2.10.2,No,Yes,Architectural infeasibility,Not the keys for that; rambles
G2.10.3,Yes,,,
