M2.#,Present,Hallucination,Hall. Type,Rationale
M2.1.1,Yes,,,
M2.1.2,Yes,,,
M2.1.3,Yes,,,
M2.2.1,No,Yes,Architectural infeasibility,Absurd; unachievable
M2.2.2,No,Yes,Architectural infeasibility,Absurd; unachievable
M2.2.3,No,Yes,Architectural infeasibility,Absurd; unachievable
M2.2.4,No,Yes,Architectural infeasibility,Absurd; unachievable
M2.2.5,No,Yes,Architectural infeasibility,Absurd; unachievable
M2.3.1,Yes,,,
M2.3.2,Yes,,,
M2.3.3,Yes,,,
M2.4.1,Yes,,,
M2.4.2,Yes,,,
M2.4.3,Yes,,,
M2.5.1,Yes,,,
M2.5.2,Yes,,,
M2.5.3,Yes,,,
M2.5.4,Yes,,,
M2.6.1,Yes,,,
M2.6.2,Yes,,,
M2.7.1,Yes,,,
M2.7.2,No,No,,
M2.7.3,Yes,,,
M2.7.4,Yes,,,
M2.8.1,Yes,,,
M2.8.2,No,Yes,Architectural infeasibility,Extreme measures
M2.8.3,No,Yes,Architectural infeasibility,Extreme measures
M2.8.4,No,Yes,Architectural infeasibility,Extreme measures
M2.8.5,No,Yes,Architectural infeasibility,Extreme measures
M2.9.1,Yes,,,
M2.9.2,No,No,,
M2.9.3,Yes,,,
M2.10.1,Yes,,,
M2.10.2,No,Yes,Architectural infeasibility,Absurd
M2.10.3,No,Yes,Architectural infeasibility,Absurd
M2.10.4,No,Yes,Architectural infeasibility,Absurd
M2.10.5,No,Yes,Architectural infeasibility,Absurd
M2.10.6,Yes,,,
